scope,grouping,group,n_pairs,n_judgments,raw_accuracy,raw_close_accuracy,raw_far_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_close_accuracy,pmi_far_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_close_accuracy,context_far_accuracy,context_both_correct,context_exact_ties,raw_close_choice_fraction
all,mode+wording_family_id+context_structure+target_order,close_only|proximity_synonyms|fronted_location|person_first,112,224,0.45089285714285715,0.36607142857142855,0.5357142857142857,0.16071428571428573,0,0.5491071428571429,0.15178571428571427,0.9464285714285714,0.13392857142857142,0,0.5267857142857143,0.8928571428571429,0.16071428571428573,0.0625,0,0.41517857142857145
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|proximity_synonyms|fronted_location|person_first,40,80,0.65,0.35,0.95,0.3,0,0.55,0.125,0.975,0.1,0,0.5,0.0,1.0,0.0,0,0.2
all,mode+wording_family_id+context_structure+target_order,close_only|distance_short_long|fronted_location|person_first,112,224,0.33482142857142855,0.13392857142857142,0.5357142857142857,0.0,0,0.47767857142857145,0.008928571428571428,0.9464285714285714,0.008928571428571428,0,0.5,1.0,0.0,0.0,0,0.29910714285714285
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|distance_short_long|fronted_location|person_first,40,80,0.55,0.125,0.975,0.1,0,0.5,0.025,0.975,0.0,0,0.8125,0.65,0.975,0.625,0,0.075
all,mode+wording_family_id+context_structure+target_order,close_only|distance_small_large|fronted_location|person_first,112,224,0.32142857142857145,0.10714285714285714,0.5357142857142857,0.0,0,0.47767857142857145,0.008928571428571428,0.9464285714285714,0.008928571428571428,0,0.5,1.0,0.0,0.0,0,0.2857142857142857
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|distance_small_large|fronted_location|person_first,40,80,0.5375,0.075,1.0,0.075,0,0.5125,0.025,1.0,0.025,0,0.7625,1.0,0.525,0.525,0,0.0375
all,mode+wording_family_id+context_structure+target_order,original_baseline|original_placement|fronted_location|object_first,112,224,0.42410714285714285,0.7142857142857143,0.13392857142857142,0.0625,0,0.4017857142857143,0.6785714285714286,0.125,0.07142857142857142,0,0.5223214285714286,0.9107142857142857,0.13392857142857142,0.0625,0,0.7901785714285714
all,mode+wording_family_id+context_structure+target_order,close_only|direct_labels|fronted_location|object_first,112,224,0.5669642857142857,1.0,0.13392857142857142,0.13392857142857142,0,0.5401785714285714,0.9553571428571429,0.125,0.11607142857142858,0,0.5133928571428571,1.0,0.026785714285714284,0.026785714285714284,0,0.9330357142857143
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|direct_labels|fronted_location|object_first,40,80,1.0,1.0,1.0,1.0,0,0.9625,0.925,1.0,0.925,0,1.0,1.0,1.0,1.0,0,0.5
all,mode+wording_family_id+context_structure+target_order,close_only|proximity_synonyms|fronted_location|object_first,112,224,0.27232142857142855,0.4107142857142857,0.13392857142857142,0.026785714285714284,0,0.20089285714285715,0.2767857142857143,0.125,0.008928571428571428,0,0.5,0.9642857142857143,0.03571428571428571,0.008928571428571428,0,0.6383928571428571
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|proximity_synonyms|fronted_location|object_first,40,80,0.6875,0.45,0.925,0.375,0,0.6125,0.3,0.925,0.225,0,0.55,0.1,1.0,0.1,0,0.2625
all,mode+wording_family_id+context_structure+target_order,close_only|distance_short_long|fronted_location|object_first,112,224,0.3125,0.49107142857142855,0.13392857142857142,0.017857142857142856,0,0.19196428571428573,0.25892857142857145,0.125,0.0,0,0.5,1.0,0.0,0.0,0,0.6785714285714286
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|distance_short_long|fronted_location|object_first,40,80,0.7375,0.475,1.0,0.475,0,0.5875,0.275,0.9,0.175,0,0.8375,0.675,1.0,0.675,0,0.2375
all,mode+wording_family_id+context_structure+target_order,close_only|distance_small_large|fronted_location|object_first,112,224,0.28125,0.42857142857142855,0.13392857142857142,0.026785714285714284,0,0.15625,0.1875,0.125,0.0,0,0.5,1.0,0.0,0.0,0,0.6473214285714286
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|distance_small_large|fronted_location|object_first,40,80,0.7125,0.425,1.0,0.425,0,0.575,0.2,0.95,0.15,0,0.925,0.975,0.875,0.85,0,0.2125
all,mode+wording_family_id+context_structure+target_order,original_baseline|original_placement|person_subject|person_first,112,224,0.6160714285714286,0.9732142857142857,0.25892857142857145,0.25892857142857145,0,0.7723214285714286,0.7142857142857143,0.8303571428571429,0.5446428571428571,0,0.6517857142857143,0.6160714285714286,0.6875,0.30357142857142855,0,0.8571428571428571
all,mode+wording_family_id+context_structure+target_order,close_only|direct_labels|person_subject|person_first,112,224,0.6205357142857143,0.9821428571428571,0.25892857142857145,0.25,0,0.71875,0.6071428571428571,0.8303571428571429,0.4375,0,0.5,1.0,0.0,0.0,0,0.8616071428571429
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|direct_labels|person_subject|person_first,40,80,0.9875,0.975,1.0,0.975,0,0.85,0.7,1.0,0.7,0,0.975,1.0,0.95,0.95,0,0.4875
all,mode+wording_family_id+context_structure+target_order,close_only|proximity_synonyms|person_subject|person_first,112,224,0.33482142857142855,0.4107142857142857,0.25892857142857145,0.0625,0,0.48214285714285715,0.13392857142857142,0.8303571428571429,0.044642857142857144,0,0.5,1.0,0.0,0.0,0,0.5758928571428571
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|proximity_synonyms|person_subject|person_first,40,80,0.45,0.325,0.575,0.175,0,0.5,0.125,0.875,0.075,0,0.4625,0.0,0.925,0.0,0,0.375
all,mode+wording_family_id+context_structure+target_order,close_only|distance_short_long|person_subject|person_first,112,224,0.23660714285714285,0.21428571428571427,0.25892857142857145,0.008928571428571428,0,0.4375,0.044642857142857144,0.8303571428571429,0.0,0,0.44642857142857145,0.7857142857142857,0.10714285714285714,0.0,0,0.47767857142857145
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|distance_short_long|person_subject|person_first,40,80,0.575,0.225,0.925,0.15,0,0.5,0.025,0.975,0.0,0,0.6375,0.825,0.45,0.275,0,0.15
